id,soil_series,texture,slope,erosion,drainage,indx,CAUV 2018,Projected Expected 2019,Projected Low 2019,Projected High 2019
ALEXANDRIASICL12-18MW,ALEXANDRIA,SICL,12-18,M,W,indx_59,350,350,350,400
ALEXANDRIASICL12-18SEW,ALEXANDRIA,SICL,12-18,SE,W,indx_49,350,350,350,350
ALEXANDRIASICL18-25SEW,ALEXANDRIA,SICL,18-25,SE,W,indx_49,350,350,350,350
ALEXANDRIASICL6-12SEW,ALEXANDRIA,SICL,6-12,SE,W,indx_59,350,350,350,350
ALEXANDRIASIL0-2SW,ALEXANDRIA,SIL,0-2,S,W,indx_79,1240,1035,820,1600
ALEXANDRIASIL12-18MW,ALEXANDRIA,SIL,12-18,M,W,indx_69,370,360,360,530
ALEXANDRIASIL12-18SW,ALEXANDRIA,SIL,12-18,S,W,indx_69,440,395,395,760
ALEXANDRIASIL12-20MW,ALEXANDRIA,SIL,12-20,M,W,indx_69,360,355,355,510
ALEXANDRIASIL18-25MW,ALEXANDRIA,SIL,18-25,M,W,indx_59,350,350,350,350
ALEXANDRIASIL18-25SW,ALEXANDRIA,SIL,18-25,S,W,indx_59,350,350,350,350
ALEXANDRIASIL2-6MW,ALEXANDRIA,SIL,2-6,M,W,indx_69,820,615,585,1120
ALEXANDRIASIL2-6SW,ALEXANDRIA,SIL,2-6,S,W,indx_79,1070,875,710,1420
ALEXANDRIASIL6-12MW,ALEXANDRIA,SIL,6-12,M,W,indx_69,630,490,490,960
ALEXANDRIASIL6-12SW,ALEXANDRIA,SIL,6-12,S,W,indx_69,820,615,585,1120
ALEXANDRIASIL6-18SW,ALEXANDRIA,SIL,6-18,S,W,indx_69,610,480,480,950
ALFORDSIL0-2SW,ALFORD,SIL,0-2,S,W,indx_89,2880,2590,2345,3290
ALFORDSIL10-25SW,ALFORD,SIL,10-25,S,W,indx_59,350,350,350,710
ALFORDSIL15-25SW,ALFORD,SIL,15-25,S,W,indx_49,350,350,350,350
ALFORDSIL1-8SW,ALFORD,SIL,1-8,S,W,indx_79,2600,2325,2085,3e3
ALFORDSIL2-6SW,ALFORD,SIL,2-6,S,W,indx_79,2600,2325,2085,3e3
ALFORDSIL2-8SW,ALFORD,SIL,2-8,S,W,indx_79,2600,2325,2085,3e3
ALFORDSIL6-12MW,ALFORD,SIL,6-12,M,W,indx_69,1710,1470,1250,2050
ALFORDSIL6-12SW,ALFORD,SIL,6-12,S,W,indx_79,2290,2030,1800,2680
ALFORDSIL6-15MW,ALFORD,SIL,6-15,M,W,indx_69,1630,1395,1175,1970
ALFORDSIL8-15MW,ALFORD,SIL,8-15,M,W,indx_69,1250,1045,835,1600
ALFORDSIL8-15SW,ALFORD,SIL,8-15,S,W,indx_69,1530,1305,1090,1880
"ALFORD,T-SUBSTSIL1-4SW","ALFORD,T-SUBST",SIL,1-4,S,W,indx_79,2600,2325,2085,3e3
"ALGANSEE,OF-PHFS0-2SSWP","ALGANSEE,OF-PH",FS,0-2,S,SWP,indx_79,2370,2105,1870,2760
"ALGIERS,FF-PHSIL0-2SSWP","ALGIERS,FF-PH",SIL,0-2,S,SWP,indx_69,1450,1175,945,1750
