id,soil_series,texture,slope,erosion,drainage,prod_index,indx,cropland,woodland,year
"BERKS-TARHOLLOW,C6-15SW","BERKS-TARHOLLOW,C",,6-15,S,W,57,indx_59,450,230,2017
BERKS-WESTMORELANDSIL15-25SW,BERKS-WESTMORELAND,SIL,15-25,S,W,48,indx_49,350,230,2017
BETHESDACL0-8SW,BETHESDA,CL,0-8,S,W,32,indx_49,350,230,2017
BETHESDACL8-25SW,BETHESDA,CL,8-25,S,W,26,indx_49,350,230,2017
BETHESDACN-CL0-8SW,BETHESDA,CN-CL,0-8,S,W,33,indx_49,350,230,2017
BETHESDACN-CL15-25SW,BETHESDA,CN-CL,15-25,S,W,25,indx_49,350,230,2017
BETHESDACN-CL8-15SW,BETHESDA,CN-CL,8-15,S,W,25,indx_49,350,230,2017
BETHESDACN-CL8-20SW,BETHESDA,CN-CL,8-20,S,W,25,indx_49,350,230,2017
BETHESDACN-CL8-25SW,BETHESDA,CN-CL,8-25,S,W,25,indx_49,350,230,2017
BETHESDACN-L0-8SW,BETHESDA,CN-L,0-8,S,W,33,indx_49,350,230,2017
BETHESDACN-L8-20SW,BETHESDA,CN-L,8-20,S,W,25,indx_49,350,230,2017
BETHESDACN-L8-25SW,BETHESDA,CN-L,8-25,S,W,25,indx_49,350,230,2017
BETHESDACN-SICL0-8SW,BETHESDA,CN-SICL,0-8,S,W,33,indx_49,350,230,2017
BETHESDACN-SICL8-25SW,BETHESDA,CN-SICL,8-25,S,W,25,indx_49,350,230,2017
BETHESDACNV-CL0-8SW,BETHESDA,CNV-CL,0-8,S,W,33,indx_49,350,230,2017
BETHESDACNV-CL3-15SW,BETHESDA,CNV-CL,3-15,S,W,30,indx_49,350,230,2017
BETHESDACNV-CL8-20SW,BETHESDA,CNV-CL,8-20,S,W,25,indx_49,350,230,2017
BETHESDAL0-8SW,BETHESDA,L,0-8,S,W,34,indx_49,350,230,2017
BETHESDAL8-25SW,BETHESDA,L,8-25,S,W,26,indx_49,350,230,2017
